bvid,bullet_content,bullet_entry,bullet_time,bullet_crawler_time
BV1E14y1v724,小孩：我何德何能,13.09900,2022-09-16 20:16:27,2022-09-16 20:41:45
BV1E14y1v724,有时候不会配合真的,49.56300,2022-09-16 20:00:05,2022-09-16 20:41:45
BV1E14y1v724,我美的出一百万用我的,29.71800,2022-09-16 19:52:30,2022-09-16 20:41:45
BV1E14y1v724,你好，李和鑫,26.43500,2022-09-16 17:24:53,2022-09-16 20:41:45
BV1E14y1v724,真没想到，空调还有降温用途,76.73600,2022-09-16 16:57:39,2022-09-16 20:41:45
BV1E14y1v724,看过，但在最后面,7.52700,2022-09-16 16:53:06,2022-09-16 20:41:45
BV1E14y1v724,哈哈，我猜对了,44.43500,2022-09-16 16:04:50,2022-09-16 20:41:45
BV1E14y1v724,果然空调都是降温的,76.96000,2022-09-16 14:23:41,2022-09-16 20:41:45
BV1E14y1v724,mvp：空调,77.80100,2022-09-16 14:17:18,2022-09-16 20:41:45
BV1E14y1v724,帅呀，涨知识了！,73.66700,2022-09-16 13:42:16,2022-09-16 20:41:45
BV1E14y1v724,想不到，空调竟然可以降温！,67.67900,2022-09-16 11:58:49,2022-09-16 20:41:45
BV1E14y1v724,太真实了,60.28200,2022-09-16 11:34:34,2022-09-16 20:41:45
BV1E14y1v724,我还真没发现,9.62600,2022-09-16 11:30:36,2022-09-16 20:41:45
BV1E14y1v724,空调：不愧是我,60.79300,2022-09-16 10:00:51,2022-09-16 20:41:45
BV1E14y1v724,风冷散热器,63.35900,2022-09-16 08:52:30,2022-09-16 20:41:45
BV1E14y1v724,设备室降温,19.57800,2022-09-16 07:17:29,2022-09-16 20:41:45
BV1E14y1v724,没想到吧，空调还能当空调用,76.51900,2022-09-16 05:46:47,2022-09-16 20:41:45
BV1E14y1v724,小孩:啊对对对 我啥都吃,25.23100,2022-09-16 01:41:44,2022-09-16 20:41:45
BV1E14y1v724,我猜对了耶,48.42400,2022-09-16 01:36:03,2022-09-16 20:41:45
BV1E14y1v724,买台格力空调给我的小米11散热,75.80500,2022-09-16 00:31:51,2022-09-16 20:41:45
BV1E14y1v724,冷知识：空调最开始就是给机器降温的,35.67500,2022-09-15 23:42:39,2022-09-16 20:41:45
BV1E14y1v724,我站在前排，我就没发现,9.25900,2022-09-15 23:39:40,2022-09-16 20:41:45
BV1E14y1v724,调之巅峰,14.65900,2022-09-15 22:34:06,2022-09-16 20:41:45
BV1E14y1v724,前面的猜什么，外机就是带走热量的,77.01900,2022-09-15 22:16:54,2022-09-16 20:41:45
BV1E14y1v724,很难的拉,20.19100,2022-09-15 22:06:36,2022-09-16 20:41:45
BV1E14y1v724,《都会发现》,6.69700,2022-09-15 20:47:08,2022-09-16 20:41:45
BV1E14y1v724,吾友家的空调:这是假的（）,63.97900,2022-09-15 18:22:27,2022-09-16 20:41:45
BV1E14y1v724,盲猜一手空气上下对流？,19.03700,2022-09-15 14:28:15,2022-09-16 20:41:45
BV1E14y1v724,空调最初的设计就是给机器降温的,77.50700,2022-09-15 13:03:13,2022-09-16 20:41:45
BV1E14y1v724,盲猜设备降温,2.00200,2022-09-15 12:28:06,2022-09-16 20:41:45
BV1E14y1v724,有地下室，我看到过,8.27400,2022-09-15 10:18:16,2022-09-16 20:41:45
BV1E14y1v724,好像是老科龙,10.22700,2022-09-16 20:34:26,2022-09-16 20:41:45
BV1E14y1v724,我有一问，如果空调热坏了怎么办，给空调装个空调吗,77.95800,2022-09-16 19:35:43,2022-09-16 20:41:45
BV1E14y1v724,变频器温度高了会保护,47.00600,2022-09-16 19:10:15,2022-09-16 20:41:45
