bvid,url,tags,channel_crawl_time
BV1E14y1v724,http://www.bilibili.com/video/av773037727,"冷知识,升旗",2022-09-16 20:20:48
BV1HB4y1375U,http://www.bilibili.com/video/av602861932,"西瓜,牛排,科普",2022-09-16 20:20:48
BV12d4y137Fi,http://www.bilibili.com/video/av345456436,"戒色瘾,健康,戒色,科学",2022-09-16 20:20:48
BV1Qe4y1b7y4,http://www.bilibili.com/video/av560489835,"万物研究所2022第三期,万物研究所,自然,实验,物理,原子,光,玻璃,数学,知识,科普",2022-09-16 20:20:48
BV1rD4y1q73o,http://www.bilibili.com/video/av730467774,"万物研究所2022第三期,万物研究所,动物,自然,蚂蚁,昆虫,老六",2022-09-16 20:20:48
BV1Ra411u7Yo,http://www.bilibili.com/video/av217961880,"万物研究所2022第三期,万物研究所,医学,健康,搞笑,沙雕,脱发,头皮屑,头油,洗发水",2022-09-16 20:20:48
BV1L14y1v7yt,http://www.bilibili.com/video/av773056190,"原创,科学,生命,自然,昆虫,蚊子,生物,辟谣,3分钟分享一个科学知识,2022·科学3分钟,蚊子带编号",2022-09-16 20:20:48
BV1ge4y1a7Jv,http://www.bilibili.com/video/av560417275,"万物研究所2022第三期,万物研究所,生命,科学,Chubbyemu,医学,知识,4K",2022-09-16 20:20:48
BV1dT411M7JM,http://www.bilibili.com/video/av473047877,"科学,生命,水果,鉴定,自然,健康,生物,万物研究所,万物研究所2022第二季,万物研究所2022第三期",2022-09-16 20:20:48
BV17e4y1C76M,http://www.bilibili.com/video/av557869465,"科学,冷知识,大脑,知识,科普,科学科普",2022-09-16 20:20:48
BV1V14y1v7vF,http://www.bilibili.com/video/av773046563,"科学,生命,自然,冷知识,生物,涨知识",2022-09-16 20:20:48
BV1sB4y1n7dh,http://www.bilibili.com/video/av603059537,"浮游生物,蓝眼泪,荧光海滩,甲藻,发光水母,发光海滩",2022-09-16 20:20:48
BV1UP411G7ZJ,http://www.bilibili.com/video/av303018404,"科学,科普,揭秘,发现,气泡,飞行原理,水翼,万物研究所,万物研究所2022第三期",2022-09-16 20:20:48
BV1hV4y1u7dS,http://www.bilibili.com/video/av857818087,"睡眠,失眠,健康,科普,心理,生命",2022-09-16 20:20:48
BV1JG411376d,http://www.bilibili.com/video/av430486763,"万物研究所2022第三期,万物研究所,自然,生物,科学,健康,涨知识,寄生虫,福寿螺,田螺,广州管圆线虫",2022-09-16 20:20:48
BV1ga411g7gf,http://www.bilibili.com/video/av217978302,"知识,老茧,3分钟分享一个科学知识,2022·科学3分钟",2022-09-16 20:20:48
BV1Ee411u7V4,http://www.bilibili.com/video/av260403159,"冷知识,五仁月饼",2022-09-16 20:20:48
BV1cG41137Xb,http://www.bilibili.com/video/av430457501,"怀孕,孕妇,母婴,孕妈,孕期,备孕,分娩,生孩子,产妇,宝宝",2022-09-16 20:20:48
BV16P4y1Z7LJ,http://www.bilibili.com/video/av900405390,"生命,自然,生物",2022-09-16 20:20:48
BV1BK411f7be,http://www.bilibili.com/video/av472812078,"科学,科普,趣闻,建筑,冷知识,涨知识,化学锚栓,3分钟分享一个科学知识,2022·科学3分钟",2022-09-16 20:20:48
BV1724y1Z7m2,http://www.bilibili.com/video/av687979830,"科普,植物,昆虫,海南,热带雨林,毒,顾有容,狐主任,万物研究所,万物研究所2022第三期",2022-09-16 20:20:48
BV1YD4y1q7Rh,http://www.bilibili.com/video/av730443115,"宇宙,人类,文明,生物,脑洞,司徒",2022-09-16 20:20:48
BV1ie4y187yS,http://www.bilibili.com/video/av560599561,"科学,地球,天气,台风,高温,暴雨,江浙沪,地理,卫星云图,气象",2022-09-16 20:20:48
BV1x14y1e778,http://www.bilibili.com/video/av772890904,"游戏,美女,科普,全程高能,我的世界,冷知识,辟谣,营销号,沙雕营销号,知识江湖来battle",2022-09-16 20:20:48
BV1Ue4y1C7AB,http://www.bilibili.com/video/av557968308,"数学,原创,科学,科普向,冷知识,数据,趣味,万物研究所,万物研究所2022第三期",2022-09-16 20:20:48
BV1E14y1v7xQ,http://www.bilibili.com/video/av773030159,"科学,科普,健康,补钙",2022-09-16 20:20:48
BV1uB4y1n7x6,http://www.bilibili.com/video/av602972478,"中秋节,月饼",2022-09-16 20:20:48
BV1aP4y1Z7CP,http://www.bilibili.com/video/av900382111,"中国,钓鱼,神秘,渔民,朝阳,知识分享官",2022-09-16 20:20:48
BV1kt4y1L7VA,http://www.bilibili.com/video/av985442042,"原创,女生,科普,冷知识,涨知识,万物研究所,万物研究所2022第三期",2022-09-16 20:20:48
BV1aG411V7Ap,http://www.bilibili.com/video/av430427443,"万物研究所2022第三期,万物研究所,冷知识,制冰厂,冰块,赚钱,收入,制造,高温,炎热",2022-09-16 20:20:48
BV1BP411G7mQ,http://www.bilibili.com/video/av302988073,"吐槽,科学,搞笑,蜜蜂,冷知识,生物,辟谣,万物研究所,万物研究所2022第三期",2022-09-16 20:20:49
BV1XB4y1J7ik,http://www.bilibili.com/video/av602951984,"日本,新闻,东京,东京电视台,六公主,知识分享官",2022-09-16 20:20:49
BV1ct4y1j7uC,http://www.bilibili.com/video/av985504051,"科学,地球,天气,台风,高温,地理,风暴,自然灾害,气象,科学很可爱,万物研究所2022第三期",2022-09-16 20:20:49
BV1ZP4y1d7VK,http://www.bilibili.com/video/av900624947,"化肥,污染,面膜,水资源,盐碱地,新突破,郭嘉宁,主播说三农",2022-09-16 20:20:49
BV1QU4y1z7Cj,http://www.bilibili.com/video/av687810823,必剪创作,2022-09-16 20:20:49
BV1Rg411S7YP,http://www.bilibili.com/video/av515362307,"万物研究所2022第三期,万物研究所,鉴别,科普,红腹锦鸡,葡萄,P图",2022-09-16 20:20:49
BV1HG4y1z7ux,http://www.bilibili.com/video/av815428860,"万物研究所2022第三期,万物研究所,健康,大姨妈,月经,卫生巾,痛经,生理期,涨知识,生理知识,妇产科",2022-09-16 20:20:49
BV1eG4y1z7Cc,http://www.bilibili.com/video/av815436258,"原创,科学,物理,月球,涨知识",2022-09-16 20:20:49
BV1VK411f7ZE,http://www.bilibili.com/video/av472767749,"万物研究所2022第三期,万物研究所,科普,极限操作,极限,紧急,AEB,安全,汽车,刹车",2022-09-16 20:20:49
BV1Q24y1Z7B7,http://www.bilibili.com/video/av688123312,"校园分享官,校园分享官第5期",2022-09-16 20:20:49
BV18B4y137yU,http://www.bilibili.com/video/av602890674,"科学,月球,氦3",2022-09-16 20:20:49
BV1ZP411n7jg,http://www.bilibili.com/video/av303068977,"原创,物理,宇宙,实验,自然,社会,冷知识,小知识,科普纪录,涨知识",2022-09-16 20:20:49
BV1Te4y1a7Qy,http://www.bilibili.com/video/av560375832,"万物研究所2022第三期,科学很可爱,气象,地理,地球,卫星云图,天气,科学,飓风,台风,高温",2022-09-16 20:20:49
BV1ig411S7gX,http://www.bilibili.com/video/av515300696,"万物研究所2022第三期,万物研究所,电机,马达,无刷电机,吹风机,高速吹风机,超倍速干发,追觅高速pro吹风机",2022-09-16 20:20:49
BV1YW4y1B7Mz,http://www.bilibili.com/video/av942895829,"万物研究所2022第三期,科学很可爱,自然,气象,地理,地球,天气,科学,台风,高温,自然灾害",2022-09-16 20:20:49
BV1pW4y1i7p5,http://www.bilibili.com/video/av942966193,"万物研究所2022第三期,科学很可爱,科普,科学,航空,飞机",2022-09-16 20:20:49
BV1tT411M77H,http://www.bilibili.com/video/av472989872,"万物研究所2022第三期,科学很可爱,气象,地理,地球,卫星云图,天气,科学,风暴,飓风,科普纪录",2022-09-16 20:20:49
BV1KG4y1z7EV,http://www.bilibili.com/video/av815348178,"万物研究所2022第三期,科学很可爱,宇宙,科普,科学,天文,韦伯望远镜,宇宙大爆炸,微波背景辐射,星系红移",2022-09-16 20:20:49
BV1SP4y1Z7oM,http://www.bilibili.com/video/av900439877,"科普,纪录片,黄金,探访,失传已久,泥,必剪创作,3分钟分享一个科学知识,2022·科学3分钟,龙泉泥,藕杆",2022-09-16 20:20:49
