category_id,category_name,category_code,category_link,subcategory_id,subcategory_name,subcategory_code,subcategory_link
3,有声书,youshengshu,/youshengshu/,3776,文学,wenxue,/youshengshu/wenxue/
3,有声书,youshengshu,/youshengshu/,3772,生活,shenghuo,/youshengshu/shenghuo/
3,有声书,youshengshu,/youshengshu/,3773,教材,jiaocai,/youshengshu/jiaocai/
3,有声书,youshengshu,/youshengshu/,3774,经典,jingdian,/youshengshu/jingdian/
3,有声书,youshengshu,/youshengshu/,3775,童书,tongshu,/youshengshu/tongshu/
3,有声书,youshengshu,/youshengshu/,3473,成长,lizhi,/youshengshu/lizhi/
3,有声书,youshengshu,/youshengshu/,3777,社科,sheke,/youshengshu/sheke/
3,有声书,youshengshu,/youshengshu/,3474,商业,shangye,/youshengshu/shangye/
3,有声书,youshengshu,/youshengshu/,3763,外文原版,yingwenyuanban,/youshengshu/yingwenyuanban/
3,有声书,youshengshu,/youshengshu/,4467,期刊杂志,qikanzazhi,/youshengshu/qikanzazhi/
3,有声书,youshengshu,/youshengshu/,6660231,言情,reci231,/youshengshu/reci231/
3,有声书,youshengshu,/youshengshu/,6660232,悬疑,reci232,/youshengshu/reci232/
3,有声书,youshengshu,/youshengshu/,6660235,都市,reci235,/youshengshu/reci235/
3,有声书,youshengshu,/youshengshu/,6660233,幻想,reci233,/youshengshu/reci233/
3,有声书,youshengshu,/youshengshu/,6660238,武侠,reci238,/youshengshu/reci238/
3,有声书,youshengshu,/youshengshu/,6660234,历史,reci234,/youshengshu/reci234/
3,有声书,youshengshu,/youshengshu/,6660346,女生最爱,reci346,/youshengshu/reci346/
3,有声书,youshengshu,/youshengshu/,6660348,男生最爱,reci348,/youshengshu/reci348/
3,有声书,youshengshu,/youshengshu/,6660022,阅文集团,reci22,/youshengshu/reci22/
3,有声书,youshengshu,/youshengshu/,6660023,读客图书,reci23,/youshengshu/reci23/
3,有声书,youshengshu,/youshengshu/,6660024,果麦文化,reci24,/youshengshu/reci24/
3,有声书,youshengshu,/youshengshu/,6660646,中信书院,reci646,/youshengshu/reci646/
3,有声书,youshengshu,/youshengshu/,6660026,博集新媒,reci26,/youshengshu/reci26/
3,有声书,youshengshu,/youshengshu/,6660394,磨铁阅读,reci394,/youshengshu/reci394/
3,有声书,youshengshu,/youshengshu/,6660419,蓝狮子,reci419,/youshengshu/reci419/
3,有声书,youshengshu,/youshengshu/,6660650,华章图书,reci650,/youshengshu/reci650/
3,有声书,youshengshu,/youshengshu/,6661051,大剧必听榜,reci1051,/youshengshu/reci1051/
3,有声书,youshengshu,/youshengshu/,6661055,会员有声小说,reci1055,/youshengshu/reci1055/
3,有声书,youshengshu,/youshengshu/,6661069,爆更小说,reci1069,/youshengshu/reci1069/
3,有声书,youshengshu,/youshengshu/,6661157,文学名著,reci1157,/youshengshu/reci1157/
3,有声书,youshengshu,/youshengshu/,6661158,历史专区,reci1158,/youshengshu/reci1158/
3,有声书,youshengshu,/youshengshu/,6661159,国学经典,reci1159,/youshengshu/reci1159/
3,有声书,youshengshu,/youshengshu/,6661173,小说,reci1173,/youshengshu/reci1173/
3,有声书,youshengshu,/youshengshu/,6661192,言情女生,reci1192,/youshengshu/reci1192/
3,有声书,youshengshu,/youshengshu/,6661194,都市重生,reci1194,/youshengshu/reci1194/
3,有声书,youshengshu,/youshengshu/,6661193,悬疑推理,reci1193,/youshengshu/reci1193/
3,有声书,youshengshu,/youshengshu/,6661195,历史纵横,reci1195,/youshengshu/reci1195/
3,有声书,youshengshu,/youshengshu/,6661196,仙侠幻想,reci1196,/youshengshu/reci1196/
3,有声书,youshengshu,/youshengshu/,6661264,王牌强档,reci1264,/youshengshu/reci1264/
