title,author,url,paid_type,listens,category,cate_crawl_time
【第二季】吴晓波细读50本商业经典,吴晓波频道,https://www.ximalaya.com/album/71620704,paid,226,shangye,2022-10-17 22:44:19
个人投资分析体系,木子话故事,https://www.ximalaya.com/album/71661801,paid,116,shangye,2022-10-17 22:44:19
无边界企业 | 数字化转型认知必修课,蓝狮子FM,https://www.ximalaya.com/album/71371752,vip,7,shangye,2022-10-17 22:44:19
经济学思维|深入分析中国社会在变革中出现的一系列经济现象,196先生,https://www.ximalaya.com/album/71568025,vip,17000,shangye,2022-10-17 22:44:19
远方期货每日策略（视频版）,远方期货,https://www.ximalaya.com/album/71665255,paid,30,shangye,2022-10-17 22:44:19
创业从商业计划书开始（社科）,CV南宫玖儿,https://www.ximalaya.com/album/71619676,vip,1354,shangye,2022-10-17 22:44:19
理财实战指南|深度提供理财建议和干货指导【原创】,邓宁Robin_喵星,https://www.ximalaya.com/album/71572629,paid,2,shangye,2022-10-17 22:44:19
长期价值|财经类头部自媒体远方青木10余年投资经验拆解,HE北笙,https://www.ximalaya.com/album/71551547,vip,4981,shangye,2022-10-17 22:44:19
钰泽·短线实战系统教程｜Ximi战法精髓,五岁悟道_钰泽,https://www.ximalaya.com/album/71485714,paid,885,shangye,2022-10-17 22:44:19
招商局与中国金融业｜见证 150 年中国金融史,蓝狮子FM,https://www.ximalaya.com/album/71044223,vip,306,shangye,2022-10-17 22:44:19
鲁南制药与赵志全|中国企业家式企业非血缘传承典例,蓝狮子FM,https://www.ximalaya.com/album/71212479,vip,62,shangye,2022-10-17 22:44:19
大国的坎：如何破解“卡脖子”难题,196先生,https://www.ximalaya.com/album/70681939,limit free,77000,shangye,2022-10-17 22:44:19
私募基金监管解析与备案实务（2022）,梧桐课堂,https://www.ximalaya.com/album/70370193,vip,14,shangye,2022-10-17 22:44:19
中国制造：一场未来十年的大博弈|科技前沿|产业解读,前沿讲座频道,https://www.ximalaya.com/album/71349439,vip,14000,shangye,2022-10-17 22:44:19
中大教授李孔岳：金融思维与财富大趋势|金融,前沿讲座频道,https://www.ximalaya.com/album/71369994,vip,5725,shangye,2022-10-17 22:44:19
货币的终结 | 德国知名经济学家现象级力作,蓝狮子FM,https://www.ximalaya.com/album/70788203,vip,14000,shangye,2022-10-17 22:44:19
精准销售：以销售流程为中心的方法论|销售技能,前沿讲座频道,https://www.ximalaya.com/album/71090875,vip,1940,shangye,2022-10-17 22:44:19
经典日漫的政治学分析|中日关系,前沿讲座频道,https://www.ximalaya.com/album/71351131,vip,868,shangye,2022-10-17 22:44:19
中国大时局|决定未来的认知和行动,悦知听书,https://www.ximalaya.com/album/71208098,limit free,946,shangye,2022-10-17 22:44:19
共情式管理 | 高情商管理课 一本书解决管理问题,大吕说书,https://www.ximalaya.com/album/70990163,limit free,3189,shangye,2022-10-17 22:44:19
世界著名品牌100讲,联合读创书院,https://www.ximalaya.com/album/70970038,vip,4816,shangye,2022-10-17 22:44:19
周导共享盈利：赚钱增长快车道|盈利模式,前沿讲座频道,https://www.ximalaya.com/album/71261523,vip,1307,shangye,2022-10-17 22:44:19
钱小蛋理财记|讲给小朋友的理财小故事,悦知听书,https://www.ximalaya.com/album/71190093,limit free,202,shangye,2022-10-17 22:44:19
当代赚钱大揭秘 | 犹太人财富智慧&经商金融&赚钱,一路听天下精品,https://www.ximalaya.com/album/70994563,vip,981,shangye,2022-10-17 22:44:19
陈伟讲招投标管理：中标必过81道关,陈伟招投标官方账号,https://www.ximalaya.com/album/71592829,vip,7,shangye,2022-10-17 22:44:19
10本书让你做金钱的主人,金桔果课堂,https://www.ximalaya.com/album/71214956,vip,327,shangye,2022-10-17 22:44:19
识别庄家陷阱，只需5个阶段,阳光财经课堂,https://www.ximalaya.com/album/71207203,paid,261,shangye,2022-10-17 22:44:19
极端不确定性,中信书院,https://www.ximalaya.com/album/70838812,vip,6169,shangye,2022-10-17 22:44:19
12天深入浅出学基金|让你多一份收入,好买研习社,https://www.ximalaya.com/album/71015704,paid,802,shangye,2022-10-17 22:44:19
胖胖熊：赛道及价投之悟道二十年,胖胖熊_lf,https://www.ximalaya.com/album/71071257,paid,673,shangye,2022-10-17 22:44:19
品牌通识课,心洞察精品课,https://www.ximalaya.com/album/71189015,paid,21,shangye,2022-10-17 22:44:19
聘谁：用A级别招聘法找到更适合的人,中资学院,https://www.ximalaya.com/album/71163880,paid,243,shangye,2022-10-17 22:44:19
重构：数字化转型的逻辑，战略思维、商业模式、产业版图、工业4.0,杨枪枪,https://www.ximalaya.com/album/71759049,limit free,38,shangye,2022-10-17 22:44:19
从零开始学基金 | 财务自由 聪明的投资者 投资认知,196先生,https://www.ximalaya.com/album/71755993,limit free,112,shangye,2022-10-17 22:44:19
超短训练营｜10分钟助力复利之路,虎鲸研投局,https://www.ximalaya.com/album/70789577,vip,154,shangye,2022-10-17 22:44:19
富人赚钱的18种方式丨听商业巨子们都是如何赚取巨额财富的,蔬果园里的鲍鲍熊,https://www.ximalaya.com/album/70967699,limit free,6037,shangye,2022-10-17 22:44:19
